Id;Label
1;Tomás Mañara
2;Gerónimo de Orozco
3;Bartolomé Vivaldo
4;Francisco de Mandoja
5;Melchor Maldonado
6;Alonso Millán de Arcos
7;Francisco de Medina
8;Lucas de Medina
9;Luis de Medina
10;Lucas Pinelo
11;Salvador Gómez de Espinosa
12;Juan de Neve
13;Juan Pérez Enríquez
14;Antonio Lorenzo de Andrade
15;Juan Antonio de Medina
16;Juan de la Fuente Almonte
17;Adriano de Legaso
18;Antonio María Bucarelli
19;Lope de Olloqui
20;Andrés Madariaga
21;Juan de Vergara
22;Domingo Zarricolea
23;Simón de Gaviola
24;Gregorio Ibarra
25;Bartolomé Dongo
26;Miguel de Neve
27;Fernando de Almonte
28;Juan Fernández Orozco Vicentelo
29;Antonio Angiano
30;Juan de Munive
31;Simón de Gandía
